conductor_id,old_ids,group,from_endpoint,to_endpoint,net,color,awg,MPN,installed_length_lower_mm,installed_length_upper_mm,raw_cut_nominal_mm,raw_cut_tolerance_mm,maximum_installed_wire_mass_g,R20_wire_max_ohm,R105_wire_max_ohm,process_notes
R23-011,R13-011,H10_TDK_CONTROL,B1:J5.1,B2:J1.1,GND,black,28,55A0111-28-0,560.9905108795178,571.9905108795178,582,1,0.7746062454628926,0.12873539713364474,0.17173945654613876,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-012,R13-012,H10_TDK_CONTROL,B1:J5.2,B2:J1.2,+3V3,red,28,55A0111-28-2,650.3919672318455,661.3919672318455,672,1,0.8956763071628812,0.14885659105021193,0.19858213529053523,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-013,R13-013,H10_TDK_CONTROL,B1:J5.3,B2:J1.3,I2C_SDA,green,28,55A0111-28-5,643.823894407401,654.823894407401,665,1,0.8867816312308507,0.14737834368880479,0.19661007939805003,"Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. Mandatory dynamic-relief supplement supersedes old upper/middle shape and old cut length. Same terminals, same guide/grips, OD and Rmin; preserve original bare/sleeve process once."
R23-014,R13-014,H10_TDK_CONTROL,B1:J5.4,B2:J1.4,I2C_SCL,yellow,28,55A0111-28-4,613.7295567305828,624.7295567305828,635,1,0.8460270007358655,0.14060514301744742,0.18757429104242573,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-015,R13-015,H10_TDK_CONTROL,B1:J5.5,B2:J1.5,RUN_REQ,white,28,55A0111-28-9,599.8438307068753,610.8438307068753,621,1,0.8272225452489876,0.13747994352523504,0.1834051186598398,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-016,R13-016,H10_TDK_CONTROL,B1:J5.6,B2:J1.6,RUN_OK,violet,28,55A0111-28-7,613.0714337283246,624.0714337283246,635,1,0.8451357513564866,0.14045702215801528,0.1873766904099003,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-017,R13-017,H10_TDK_CONTROL,B1:J5.7,B2:J1.7,TDK_IMON,blue,28,55A0111-28-6,590.8321612097025,601.8321612097025,612,1,0.8150186793774646,0.135451726571475,0.18069937583267623,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-018,R13-018,H10_TDK_CONTROL,B1:J5.8,B2:J1.8,GND,black,28,55A0111-28-0,605.0490285933665,616.0490285933665,627,1,0.8342715761595645,0.13865145459811332,0.18496797300661305,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-019,R13-019,H15_THERMAL65,B1:J6.1,B6:J1.1,GND,black,28,55A0111-28-0,713.997699501097,724.997699501097,735,1,0.9818130463672503,0.16317205441527313,0.21767967919269512,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-020,R13-020,H15_THERMAL65,B1:J6.2,B6:J1.2,+3V3,red,28,55A0111-28-2,680.4935349206119,691.4935349206119,702,1,0.936440728751081,0.15563141894866786,0.20762009444847035,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-021,R13-021,H15_THERMAL65,B1:J6.3,B6:J1.3,RUN_OK,violet,28,55A0111-28-7,743.9300870928719,754.9300870928719,765,1,1.0223483593299658,0.16990880569084973,0.22666684223187808,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-022,R13-022,H16_THERMAL75,B1:J7.1,B7:J1.1,GND,black,28,55A0111-28-0,734.6985283189005,745.6985283189005,756,1,1.0098467129815314,0.16783109922137981,0.22389507791628174,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-023,R13-023,H16_THERMAL75,B1:J7.2,B7:J1.2,+3V3,red,28,55A0111-28-2,731.7502590752446,742.7502590752446,753,1,1.0058540807157785,0.16716754518557012,0.2230098636548098,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-024,R13-024,H16_THERMAL75,B1:J7.3,B7:J1.3,RUN_OK,violet,28,55A0111-28-7,735.224404051028,746.224404051028,757,1,1.0105588692475804,0.16794945576739015,0.2240529714664868,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-042,R13-042,H11_REGEN_TELEMETRY,B1:J8.1,B2:P101.1,GND,black,28,55A0111-28-0,549.3534819405505,554.8534819405505,565,1,0.7513987806670326,0.1248784411454126,0.16659408441003767,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. B2signalPTHboard1.6+rear0.5 added; front2mmbare/materialprocess alreadywithinroute. Finishedhole>=0.45; intactbundle<=0.4064.
R23-043,R13-043,H11_REGEN_TELEMETRY,B1:J8.2,B2:P102.1,+3V3,red,28,55A0111-28-2,609.9645202097266,615.4645202097266,626,1,0.8334800178454297,0.13851990185822585,0.1847924750739662,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. B2signalPTHboard1.6+rear0.5 added; front2mmbare/materialprocess alreadywithinroute. Finishedhole>=0.45; intactbundle<=0.4064.
R23-044,R13-044,H11_REGEN_TELEMETRY,B1:J8.3,B2:P103.1,I2C_SDA,green,28,55A0111-28-5,563.8338121028169,569.3338121028169,580,1,0.771008466434038,0.1281374655848203,0.17094178596342952,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. B2signalPTHboard1.6+rear0.5 added; front2mmbare/materialprocess alreadywithinroute. Finishedhole>=0.45; intactbundle<=0.4064.
R23-045,R13-045,H11_REGEN_TELEMETRY,B1:J8.4,B2:P104.1,I2C_SCL,yellow,28,55A0111-28-4,587.0879880918934,592.5879880918934,603,1,0.8024999503164097,0.13337118104692874,0.1779238240756553,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. B2signalPTHboard1.6+rear0.5 added; front2mmbare/materialprocess alreadywithinroute. Finishedhole>=0.45; intactbundle<=0.4064.
R23-046,R13-046,H11_REGEN_TELEMETRY,B1:J8.5,B2:P105.1,BRAKE_ACTIVE_N,brown,28,55A0111-28-1,569.4593557483648,574.9593557483648,585,1,0.7786267418408539,0.1294035820352291,0.17263084861409736,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. B2signalPTHboard1.6+rear0.5 added; front2mmbare/materialprocess alreadywithinroute. Finishedhole>=0.45; intactbundle<=0.4064.
R23-047,R13-047,H12_BAT_NTC,B1:J1.1,RT1:1,NTC_BAT,white,28,55A0111-28-9,768.7156570946469,774.2156570946469,785,1,1.0484654411460894,0.17424932439859833,0.2324573112139501,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. NTC actualcurvedlap adds3.1947738668141157mm after subtracting1.35mmoldaxis; originalNTCfactorylegsretained.
R23-048,R13-048,H12_BAT_NTC,B1:J1.2,RT1:2,GND,black,28,55A0111-28-0,770.6299939829148,776.1299939829148,787,1,1.051057892037088,0.1746801758111153,0.23303208854081836,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. NTC actualcurvedlap adds3.1947738668141157mm after subtracting1.35mmoldaxis; originalNTCfactorylegsretained.
R23-049,R13-049,H13_TDK_NTC,B1:J2.1,RT2:1,NTC_TDK,white,28,55A0111-28-9,660.7980978898693,666.2980978898693,677,1,0.9023203325032992,0.14996079237285112,0.20005519506500202,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. NTC actualcurvedlap adds3.1947738668141157mm after subtracting1.35mmoldaxis; originalNTCfactorylegsretained.
R23-050,R13-050,H13_TDK_NTC,B1:J2.2,RT2:2,GND,black,28,55A0111-28-0,659.8334099565382,665.3334099565382,676,1,0.9010139239460454,0.14974367428811847,0.19976554868406443,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. NTC actualcurvedlap adds3.1947738668141157mm after subtracting1.35mmoldaxis; originalNTCfactorylegsretained.
R23-051,R13-051,H14_RH_NTC,B1:J3.1,RT3:1,NTC_BRAKE,white,28,55A0111-28-9,682.7493687707745,688.2493687707745,699,1,0.9320473842581465,0.15490126869315984,0.20664603750010987,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. NTC actualcurvedlap adds3.194773866814106mm after subtracting1.35mmoldaxis; originalNTCfactorylegsretained.
R23-052,R13-052,H14_RH_NTC,B1:J3.2,RT3:2,GND,black,28,55A0111-28-0,709.1467010324197,714.6467010324197,725,1,0.9677954221093137,0.16084240056044616,0.2145718044676632,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. NTC actualcurvedlap adds3.194773866814106mm after subtracting1.35mmoldaxis; originalNTCfactorylegsretained.
R23-053,R13-053,H01_BAT_ENTRY,J0:1,B1:W1.1,BAT_FUSED,red,18_then16,55A0111-18/16-2,696.6235785881844,702.6235785881844,713,1,8.418948689276109,0.011539643013138298,0.015394460761677145,"Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. J0internal8..14mm engineeringd0..6fixtureinterval,3mmstrip included; originalD5x21TE31818buttjoint retained."
R23-054,R13-054,H01_BAT_ENTRY,J0:2,B1:W2.1,GND,black,18_then16,55A0111-18/16-0,596.6479906171926,602.6479906171926,613,1,7.159574399039348,0.010004554284868412,0.013346575643728705,"Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap. J0internal8..14mm engineeringd0..6fixtureinterval,3mmstrip included; originalD5x21TE31818buttjoint retained."
R23-055,R13-055,H02_ENTRY_SWITCH,B1:W3.1,S1:1,BAT_MON,red,16,55A0111-16-2,520.3595522963807,520.3595522963807,531,1,6.427356684381596,0.00821171078262989,0.010954832769567404,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-056,R13-056,H03_SWITCH_POWER,S1:3,B2:W1.1,BAT_SW,orange,16,55A0111-16-3,118.64317758238367,118.64317758238367,129,1,1.4654521419375708,0.0018722889900632067,0.002497727127193821,"BackPTHformedCuandS1strip6included. S1actualundimensionedlug centersuseboundedbenchfixture, seeS1_Termination_Process.json. Mandatory dynamic-relief supplement supersedes old upper/middle shape and old cut length. Same terminals, same guide/grips, OD and Rmin; preserve original bare/sleeve process once."
R23-057,R13-057,H04_ENTRY_POWER_GND,B1:W4.1,B2:W2.1,GND,black,16,55A0111-16-0,536.4218258507813,536.4218258507813,547,1,6.625754044131497,0.00846518694994179,0.011292982650569845,Bothfixedguidebores12mm countedonce each; freemember free_exit-to-free_exitonly. End-to-end net fromnativepinmap.
R23-058,R13-058,H06_POWER_PDB,B2:W3.1,J9:1,SERVO_BUS,red,16,55A0111-16-2,132.99194066042296,132.99194066042296,143,1,1.6426846302723201,0.0020987245228892204,0.0027998034497603644,ActualPTH3.1stripandAMASSF3stripincluded; clip6mm retained. Disconnectpower/J0andremovebatterybeforeJ9service.
R23-059,R13-059,H06_POWER_PDB,B2:W4.1,J9:2,GND,black,16,55A0111-16-0,194.69868290172911,194.69868290172911,205,1,2.404871545965133,0.003072508742642116,0.004098880288121715,ActualPTH3.1stripandAMASSF3stripincluded; clip6mm retained. Disconnectpower/J0andremovebatterybeforeJ9service.
R23-060,R13-064,J9_1__SP3_1,J9:1,SP3:1,SERVO_BUS,red,16,55A0111-16-2,138.83680510713316,144.83680510713316,155,1,1.7889895618166436,0.002285646432300887,0.003049166623010998,ActualmatchedAMASSfixture d0..6mm engineeringrange; root2023V2doesnotguarantee matedoverlap. Strip3mm. SPultrasonicinternal20.952271858includedonce; processweldqualificationnotdone.
R23-061,R13-065,J9_2__SP4_1,J9:2,SP4:1,GND,black,16,55A0111-16-0,137.13627747991424,143.13627747991424,154,1,1.7679850514477136,0.002258810678078699,0.0030133663850908884,ActualmatchedAMASSfixture d0..6mm engineeringrange; root2023V2doesnotguarantee matedoverlap. Strip3mm. SPultrasonicinternal20.952271858includedonce; processweldqualificationnotdone.
R23-062,R13-066,H07_BRAKE_RH,B2:W103.1,RH1:1,SERVO_BUS,red,16,55A0111-16-2,155.39081185352137,155.39081185352137,166,1,1.919350127908011,0.002452197523016528,0.003271354105580199,CompleteRHformedeyes andPCBbackbare included. R12insulated/R1.2staticbarehooks perRHmanufacturingmaster; actualRHeyes unchanged; high-temperatureinsulationandindependent6mmgrip.
R23-063,R13-067,H07_BRAKE_RH,B2:W104.1,RH1:2,RH_LOW,blue,16,55A0111-16-6,273.06447385815784,273.06447385815784,284,1,3.372827045403663,0.004309186742971585,0.0057486705744612425,CompleteRHformedeyes andPCBbackbare included. R12insulated/R1.2staticbarehooks perRHmanufacturingmaster; actualRHeyes unchanged; high-temperatureinsulationandindependent6mmgrip.
R23-064,R13-068,H05_LOGIC_5V,B1:W7.1,B5:W1.1,SYSTEM_5V,red,14,55A0111-14-2,174.65139156638412,174.65139156638412,185,1,3.3788287471034266,0.0017533899547018878,0.002339109869070053,"H05Entrystrip3.1/B5strip5.363913081; B5parallelCu3.0 over4x4padwith0.05solderbondline; twoendindependentgrips. RootB1grip6mm, B5grip3.6mm."
R23-065,R13-069,H05_LOGIC_5V,B1:W8.1,B5:W2.1,GND,black,14,55A0111-14-0,177.65139156638418,177.65139156638418,188,1,3.43686714090264,0.001783508064938109,0.002379288934030684,"H05Entrystrip3.1/B5strip5.363913081; B5parallelCu3.0 over4x4padwith0.05solderbondline; twoendindependentgrips. RootB1grip6mm, B5grip3.6mm."
R23-101,R13-105,SP3_3__B12_W1,SP3:3,B12:W1.1,SERVO_BUS,red,16,55A0111-16-2,143.4620489382873,143.4620489382873,154,1,1.7720089025547308,0.002263951625305649,0.003020224665739001,"PDBR-W1toSP3existingsingleAWG16. Replaceoldmiddleonly; keepPDBbare+8once, SPinternalonce. No second fullwiremasson topofretainedsource."
R23-118,R13-122,SP3_4__B13_W1,SP3:4,B13:W1.1,SERVO_BUS,red,16,55A0111-16-2,691.8692431820051,691.8692431820051,702,1,8.54580334935619,0.010918277754939122,0.014565528438976535,Full conductor includes SP internal once and retained B13 bare+8 once. Do not add SP copper/ETFE process solids as fresh full wire mass. Deduct old HEAD_PILLAR middle allocation and carry retained B13 source allocation once. Free mass is referenced here but free geometry is imported separately by root.
R23-119,R13-123,SP4_4__B13_W2,SP4:4,B13:W2.1,GND,black,16,55A0111-16-0,757.8230966900961,757.8230966900961,768,1,9.360449567216927,0.011959084957609455,0.015954017287698893,Full conductor includes SP internal once and retained B13 bare+8 once. Do not add SP copper/ETFE process solids as fresh full wire mass. Deduct old HEAD_PILLAR middle allocation and carry retained B13 source allocation once. Free mass is referenced here but free geometry is imported separately by root.
R23-138,R13-142,H08_BENCH_5V,PS1:1,B1:W5.1,BENCH_5V,red,20,Alpha3053 RD005,71.49442803911272,78.95442803911271,80,0.5,0.7105898523520143,,,"Internal range is engineering acceptance, not manufacturer exact insertion. Includes crimp strip2.54..2.92. Measure locked sample and trim blank."
R23-139,R13-143,H08_BENCH_5V,PS1:2,B1:W6.1,GND,black,20,Alpha3053 BK005,70.88433783987912,78.34433783987912,80,0.5,0.705099040558912,,,"Internal range is engineering acceptance, not manufacturer exact insertion. Includes crimp strip2.54..2.92. Measure locked sample and trim blank."
R23-152,,H17_FAN2_POWER,B2:W1.1,FU2:1,BAT_SW,red sleeve,factory fuse lead diameter0.64mm,,6.784955592153878,6.784955592153878,,,,,,Usefactoryfuse/fanleadallocationandexactledger; notnewTEwireifpartoffan/fuse.
R23-153,,H17_FAN2_POWER,FU2:2,FANREG:1,FANREG_VIN,red,24,,215.73944954854923,215.73944954854923,,,,,,Usefactoryfuse/fanleadallocationandexactledger; notnewTEwireifpartoffan/fuse.
R23-154,,H17_FAN2_POWER,B2:W2.1,FANREG:2,GND,black,24,,251.92250242421156,251.92250242421156,,,,,,Usefactoryfuse/fanleadallocationandexactledger; notnewTEwireifpartoffan/fuse.
R23-155,,H17_FAN2_POWER,FANREG:3,FU3:1,FAN2_5V_RAW,red sleeve,factory fuse lead diameter0.64mm,,18.856284391212156,18.856284391212156,,,,,,Usefactoryfuse/fanleadallocationandexactledger; notnewTEwireifpartoffan/fuse.
R23-156,,H17_FAN2_POWER,FU3:2,FAN2:1,FAN2_5V,red,factory fan AWG28,,97.5593827780103,97.5593827780103,,,,,,Usefactoryfuse/fanleadallocationandexactledger; notnewTEwireifpartoffan/fuse.
R23-157,,H17_FAN2_POWER,FANREG:2,FAN2:2,GND,black,factory fan AWG28,,115.09265359114865,115.09265359114865,,,,,,Usefactoryfuse/fanleadallocationandexactledger; notnewTEwireifpartoffan/fuse.
