部件,关节归属,类型,材料,本轮新增或替换,制造信息,源清单,STEP,打印主文件,显示网格,网格SHA256,最近专用图册,备注
R23_Power_H3_PEEK_captive_nut_cup,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H3_PEEK_captive_nut_cup.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H3_PEEK_captive_nut_cup.stl,65472ff25e554e9f67b5835051018faa137c6d32d9531e04ac6ec21dee34469e,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD6.2 total1.5;0.3 flange between PCB and nut plus AF4.04 rear pocket1.2. Replaces rear metal washer with same0.3 stack and captures SHNS nut against rotation; no rear spanner required. Cup does not extend beyond z−1.5.
R23_Power_H3_SHNS_M2_LP,trunk_base,manufacturing_candidate,SUS304 NBK SHNS-M2-LP purchase geometry,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H3_SHNS_M2_LP.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H3_SHNS_M2_LP.stl,97c66f14dd25ac8846a21261c9b0a34fe86beab3460c0300d7e71505c4f7bf6a,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"NBK SHNS-M2-LP AF4 t1.2, pitch.4. Bore represents thread root; actual complete thread acceptance required."
R23_Power_H4_PEEK_spacer,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H4_PEEK_spacer.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H4_PEEK_spacer.stl,c952b1793f7b01c449cd82bcf13a6fbc77dff668673f9b0f0f7026f293320176,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD5 ID2.2 L4.6 supports PCB front z1.6 to6.2. Match seated height to retained H1/H2 cradle bosses; do not flex board by bolt preload.
R23_Power_H4_PEEK_isolation,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H4_PEEK_isolation.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H4_PEEK_isolation.stl,626e7e5dbd76dee3740147ee30cc913d967bb0956e7db40c2cc8f130e1849d2b,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD4.5 ID2.2 t0.5 between retained cap boss/new spacer and metal ear; front6.2..6.7. No metal rail contacts PCB package or bare FR4.
R23_Power_H4_front_washer,trunk_base,manufacturing_candidate,A2 stainless nominal purchase geometry,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H4_front_washer.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H4_front_washer.stl,ff8b705bb2226de19787931abcdc6bdc1e9ced78241dfdd15e9c2cb894a446a2,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,M2 washer OD4.3 ID2.2 t.3; front9.2..9.5. Incoming burr/flatness checks.
R23_Power_H4_M2_L11,trunk_base,manufacturing_candidate,A2-70 certified screw required; source blank A2 only,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H4_M2_L11.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H4_M2_L11.stl,3995160ae3b5552eddec020229cfb4a9eb78b98de6e231402dc696e3c532703b,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"Accu SSCF-M2-12-A2 DIN912 (H1/H2) or SEBF-M2-12-A2 DIN933 (H3/H4) blank professionally shortened to L11.00±.05 underhead. Nominal tip−1.5, head underside9.5; H1/H2 AF1.5 socket depth1.0; H3/H4 AF4 hex head1.52 for side spanner access. Threaded major cylinder is engagement reference, not helix. Check actual usable thin-nut overlap and tip protrusion."
R23_Power_H4_PEEK_captive_nut_cup,trunk_base,manufacturing_candidate,unfilled PEEK nominal450G-type,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H4_PEEK_captive_nut_cup.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H4_PEEK_captive_nut_cup.stl,d0785b6d309830224167b4b0ee7f79ba9a6889ea99f620cc5058c9d257ee61fc,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,OD6.2 total1.5;0.3 flange between PCB and nut plus AF4.04 rear pocket1.2. Replaces rear metal washer with same0.3 stack and captures SHNS nut against rotation; no rear spanner required. Cup does not extend beyond z−1.5.
R23_Power_H4_SHNS_M2_LP,trunk_base,manufacturing_candidate,SUS304 NBK SHNS-M2-LP purchase geometry,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_Power_H4_SHNS_M2_LP.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_Power_H4_SHNS_M2_LP.stl,03e4a02be854a09534d11910a9d493ef8dd41aa4f190ec0d52b15a64c43064cf,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"NBK SHNS-M2-LP AF4 t1.2, pitch.4. Bore represents thread root; actual complete thread acceptance required."
R23_OUTPUT_side_M2x5_1,trunk_base,manufacturing_candidate,A2-70 certified M2x5 DIN912,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_OUTPUT_side_M2x5_1.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_OUTPUT_side_M2x5_1.stl,645de5b0f4e92b884b1481b580019b5788a6c8e00b48c3b88d0cbe753aa92f95,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"M2x5 DIN912 headD3.8H2 AF1.5. 2mm PEEK wall +3mm rail nominal full entry; major cylinder represents thread engagement. Install on empty bracket before populated PCB, not through live electronics. Preload qualification rather than generic torque."
R23_OUTPUT_side_M2x5_2,trunk_base,manufacturing_candidate,A2-70 certified M2x5 DIN912,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_OUTPUT_side_M2x5_2.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_OUTPUT_side_M2x5_2.stl,0e9d6b0734f95a07d17565edf036945271cdff2a1bd035a6102291ce1c4f9b41,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"M2x5 DIN912 headD3.8H2 AF1.5. 2mm PEEK wall +3mm rail nominal full entry; major cylinder represents thread engagement. Install on empty bracket before populated PCB, not through live electronics. Preload qualification rather than generic torque."
R23_W3_VMQ_liner_MAX_OD,trunk_base,compliant_part_design,"VMQ50A silicone, density1.2 assumption",True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_W3_VMQ_liner_MAX_OD.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_W3_VMQ_liner_MAX_OD.stl,4f24285c74e74c0984609bb1530885b21e3cc809ee46cdaf47d716b8a7c57a0d,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,Compressed radial bedding0.111 for maxOD1.778. Match actual OD and 0.15/0.175/0.20mm stock to15..30% nominal compression. No certified friction/creep claim.
R23_W4_VMQ_liner_MAX_OD,trunk_base,compliant_part_design,"VMQ50A silicone, density1.2 assumption",True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_W4_VMQ_liner_MAX_OD.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_W4_VMQ_liner_MAX_OD.stl,2758630c528a541506b657f1b00d62e67958d7a58af32139a4c43fb8dd5fda04,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,Compressed radial bedding0.111 for maxOD1.778. Match actual OD and 0.15/0.175/0.20mm stock to15..30% nominal compression. No certified friction/creep claim.
R23_W4_PTFE_lacing,trunk_base,lacing_reference,Daburn2049-A TypeIII PTFE flat braid purchase envelope,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_W4_PTFE_lacing.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_W4_PTFE_lacing.stl,efdbaad9850bbfdccc702bbcc6aa98e24006d12b20c4da255823b67e5f7110e1,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"Installed braid maxwidth1.8288, maxthickness.3556. Nominal smooth loop does not model braid or knot topology. 6mm bearing section has independent lacing; knot proof/creep procedure pending."
R23_W4_PTFE_knot_budget,trunk_base,knot_budget,Installed knot and trimmed-tail clearance budget,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_W4_PTFE_knot_budget.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_W4_PTFE_knot_budget.stl,be391c74a0ea8583b61ba4f76c54e11c8f2f3fa4b7760a0e3c61e7401633b10d,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"2.6x2.6x2mm maximum actual knot envelope; part is a bounded installation allowance, not a fabricated solid. Included in installed collision envelope; mass counted in matching braid budget. Reject knot outside this envelope."
R23_REGEN_side_M2x5_1,trunk_base,manufacturing_candidate,A2-70 certified M2x5 DIN912,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_REGEN_side_M2x5_1.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_REGEN_side_M2x5_1.stl,81adacda4eaaf5c5388355528522bcacc202ed494a94d6c1e1382a853ed015e4,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"M2x5 DIN912 headD3.8H2 AF1.5. 2mm PEEK wall +3mm rail nominal full entry; major cylinder represents thread engagement. Install on empty bracket before populated PCB, not through live electronics. Preload qualification rather than generic torque."
R23_REGEN_side_M2x5_2,trunk_base,manufacturing_candidate,A2-70 certified M2x5 DIN912,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics/manifest.json,work/r23-power-integration/mechanics/STEP_毫米/R23_REGEN_side_M2x5_2.step,,work/r23-power-integration/mechanics/STL_装配坐标_毫米/R23_REGEN_side_M2x5_2.stl,297d18e500a896a9e26adf75018713a69d37d4af8f6354dbfcf167fb987c5990,work/r23-power-integration/mechanics/R23_mechanics_dimensions.pdf,"M2x5 DIN912 headD3.8H2 AF1.5. 2mm PEEK wall +3mm rail nominal full entry; major cylinder represents thread engagement. Install on empty bracket before populated PCB, not through live electronics. Preload qualification rather than generic torque."
R23_neck_lower_VMQ_comb_installed,trunk_base,installed_deformation_reference,Wacker ELASTOSIL LR3004/40 A/B VMQ Shore A40 typical,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_VMQ_comb_installed.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_VMQ_comb_installed.stl,0dc7b8236aae1a7f1e273cdad20fdf21c5a280154dcf0812a18a3b21eb45e4cb,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,Installed soft insert reference with maximum wire OD bores. Proposed mold bore0.95xminimum insulation OD; coupon must establish grip without insulation damage. Final molding shrinkage/formulation not released.
R23_neck_lower_PEEK_retainer,trunk_base,manufacturing_candidate,unfilled PEEK Victrex450G-series machining stock,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_PEEK_retainer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_PEEK_retainer.stl,3d3fa15c6f145a2996cfe17161e3968ec5bcc93020f6e0431e657a63adfe28a1,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,"2mm rear retainer with7x23 through window, twoM2 clearance holes; install comb/wires before terminals."
R23_neck_lower_retainer_1_washer,trunk_base,manufacturing_candidate,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_retainer_1_washer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_retainer_1_washer.stl,b51a965ea8888b9f19b7c68bf857a7fe9b5264255f7fa865edd22815b3cb2c84,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,M2.5 washer intentionally used on M2 to clear bounded underhead fillet; incoming dimension check.
R23_neck_lower_retainer_1_M2x6,trunk_base,purchase_reference,A2-70 socket screw nominal purchase envelope,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_retainer_1_M2x6.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_retainer_1_M2x6.stl,0bfaf7b9f9fa60c1fc476b1ec46e37bc8a19ab812ac3d9041605484629d0f388,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,"M2x6, underhead datum; full major-diameter shaft is thread-envelope reference. Verify supplier fillet <= D2.6 x0.4 and incoming dimensions."
R23_neck_lower_mount_1_front_washer,trunk_base,manufacturing_candidate,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_1_front_washer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_1_front_washer.stl,9a2ee0af8af3110c80de15998414f5c71d2c1d1fc429633e8e6541fbb0cce5a7,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,M2.5 washer intentionally used on M2 to clear bounded underhead fillet; incoming dimension check.
R23_neck_lower_mount_1_rear_washer,trunk_base,manufacturing_candidate,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_1_rear_washer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_1_rear_washer.stl,05278408f4aaadc28a9baf7055e1066dcb2bf2461abee59aa13dcdc2fd99c437,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,M2.5 washer intentionally used on M2 to clear bounded underhead fillet; incoming dimension check.
R23_neck_lower_mount_1_M2_nut,trunk_base,purchase_reference,A2 stainless M2 hex nut AF4 t1.6,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_1_M2_nut.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_1_M2_nut.stl,37bc3bf819cd5bf1bf18104732e30459f5e810ae510be6cfadbf38a7db393b24,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,Minor bore is thread engagement envelope; verify full usable thread and nut thickness.
R23_neck_lower_mount_1_M2x18,trunk_base,purchase_reference,A2-70 socket screw nominal purchase envelope,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_1_M2x18.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_1_M2x18.stl,a6434fc4c3798182c0c56bc4483c39c569e9c6f921288a3d9ef8c277bdfe7675,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,"M2x18, underhead datum; full major-diameter shaft is thread-envelope reference. Verify supplier fillet <= D2.6 x0.4 and incoming dimensions."
R23_neck_lower_retainer_2_washer,trunk_base,manufacturing_candidate,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_retainer_2_washer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_retainer_2_washer.stl,80e6ea74d25e83d94b627036556d7464bf55221e7afd653aa3df0ecea8b4d3a5,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,M2.5 washer intentionally used on M2 to clear bounded underhead fillet; incoming dimension check.
R23_neck_lower_retainer_2_M2x6,trunk_base,purchase_reference,A2-70 socket screw nominal purchase envelope,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_retainer_2_M2x6.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_retainer_2_M2x6.stl,8641b3442f93cf9fdf225a6fce3027e1683b8f9fe17b3beb2b2c3ee7261191e0,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,"M2x6, underhead datum; full major-diameter shaft is thread-envelope reference. Verify supplier fillet <= D2.6 x0.4 and incoming dimensions."
R23_neck_lower_mount_2_front_washer,trunk_base,manufacturing_candidate,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_2_front_washer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_2_front_washer.stl,5209d7cf1ee8d37a8a691801011a11319fe403f617dd9740e446e25b89ed8589,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,M2.5 washer intentionally used on M2 to clear bounded underhead fillet; incoming dimension check.
R23_neck_lower_mount_2_rear_washer,trunk_base,manufacturing_candidate,A2 stainless DIN125 M2.5 washer ID2.7 OD6 t0.5,True,按本件源CAD与材料/工艺合同评审,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_2_rear_washer.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_2_rear_washer.stl,1b576c7b223fb3faa8f91e1e694e300923a8f87a76de4b01771bb35a6340196d,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,M2.5 washer intentionally used on M2 to clear bounded underhead fillet; incoming dimension check.
R23_neck_lower_mount_2_M2_nut,trunk_base,purchase_reference,A2 stainless M2 hex nut AF4 t1.6,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_2_M2_nut.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_2_M2_nut.stl,cf726b6867cd5fad5a0c02f67d31e6136939d9791c6b2b314d1544e84678e935,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,Minor bore is thread engagement envelope; verify full usable thread and nut thickness.
R23_neck_lower_mount_2_M2x18,trunk_base,purchase_reference,A2-70 socket screw nominal purchase envelope,True,参考/器件外包络：按原器件BOM采购，不按外形体积制件或计重,work/r23-power-integration/mechanics_neck/manifest.json,work/r23-power-integration/mechanics_neck/STEP_毫米/R23_neck_lower_mount_2_M2x18.step,,work/r23-power-integration/mechanics_neck/STL_装配坐标_毫米/R23_neck_lower_mount_2_M2x18.stl,feaa7a99b20a309af6d9afc905b36bb0639cf30b067a2abe57043e559f6ca438,work/r23-power-integration/mechanics_neck/R23_neck_interfaces_dimensions.pdf,"M2x18, underhead datum; full major-diameter shaft is thread-envelope reference. Verify supplier fillet <= D2.6 x0.4 and incoming dimensions."
